latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
6,27445;-75,03075;2024-09-24;nominal;2024-09-19;2024-10-03
6,27445;-75,03065;2024-09-24;nominal;2024-09-19;2024-10-03
6,27445;-75,03055;2024-09-24;nominal;2024-09-19;2024-10-03
6,27435;-75,03075;2024-09-24;nominal;2024-09-19;2024-10-03
6,27435;-75,03065;2024-09-24;nominal;2024-09-19;2024-10-03
6,27435;-75,03055;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05895;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05885;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05875;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05865;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05855;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05845;2024-09-24;nominal;2024-09-19;2024-10-03
6,12495;-75,05835;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05895;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05885;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05875;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05865;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05855;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05845;2024-09-24;nominal;2024-09-19;2024-10-03
6,12485;-75,05835;2024-09-24;nominal;2024-09-19;2024-10-03
8,47545;-76,47175;2024-09-23;nominal;2024-09-19;2024-10-03
8,47545;-76,47165;2024-09-23;nominal;2024-09-19;2024-10-03
8,47545;-76,47155;2024-09-23;nominal;2024-09-19;2024-10-03
8,47545;-76,47145;2024-09-23;nominal;2024-09-19;2024-10-03
8,47545;-76,47135;2024-09-23;nominal;2024-09-19;2024-10-03
8,47535;-76,47175;2024-09-23;nominal;2024-09-19;2024-10-03
8,47535;-76,47165;2024-09-23;nominal;2024-09-19;2024-10-03
8,47535;-76,47155;2024-09-23;nominal;2024-09-19;2024-10-03
8,47535;-76,47145;2024-09-23;nominal;2024-09-19;2024-10-03
8,47535;-76,47135;2024-09-23;nominal;2024-09-19;2024-10-03
8,46325;-76,48275;2024-09-23;nominal;2024-09-19;2024-10-03
8,46325;-76,48265;2024-09-23;nominal;2024-09-19;2024-10-03
8,46325;-76,48255;2024-09-23;nominal;2024-09-19;2024-10-03
8,46315;-76,48275;2024-09-23;nominal;2024-09-19;2024-10-03
8,46315;-76,48265;2024-09-23;nominal;2024-09-19;2024-10-03
8,46315;-76,48255;2024-09-23;nominal;2024-09-19;2024-10-03
8,46305;-76,48275;2024-09-23;nominal;2024-09-19;2024-10-03
8,46305;-76,48265;2024-09-23;nominal;2024-09-19;2024-10-03
8,46305;-76,48255;2024-09-23;nominal;2024-09-19;2024-10-03
8,45325;-76,47895;2024-09-23;nominal;2024-09-19;2024-10-03
8,45325;-76,47885;2024-09-23;nominal;2024-09-19;2024-10-03
8,45315;-76,47895;2024-09-23;nominal;2024-09-19;2024-10-03
8,45315;-76,47885;2024-09-23;nominal;2024-09-19;2024-10-03
8,45305;-76,47895;2024-09-23;nominal;2024-09-19;2024-10-03
8,45305;-76,47885;2024-09-23;nominal;2024-09-19;2024-10-03
8,44945;-76,47725;2024-09-23;nominal;2024-09-19;2024-10-03
8,44945;-76,47715;2024-09-23;nominal;2024-09-19;2024-10-03
8,44945;-76,47705;2024-09-23;nominal;2024-09-19;2024-10-03
8,44935;-76,47725;2024-09-23;nominal;2024-09-19;2024-10-03
