latitude;longitude;date;confidence;Fecha_inicio;Fecha_fin
6,91455;-76,45475;2024-09-21;nominal;2024-09-19;2024-10-03
8,64225;-76,41055;2024-09-23;nominal;2024-09-19;2024-10-03
8,63575;-76,63015;2024-09-23;nominal;2024-09-19;2024-10-03
8,15445;-76,73505;2024-09-23;nominal;2024-09-19;2024-10-03
7,75355;-76,71855;2024-09-23;nominal;2024-09-19;2024-10-03
8,12325;-76,42785;2024-09-23;nominal;2024-09-19;2024-10-03
8,13185;-76,46895;2024-09-23;nominal;2024-09-19;2024-10-03
8,18945;-76,69875;2024-09-23;nominal;2024-09-19;2024-10-03
7,61885;-76,71485;2024-09-23;nominal;2024-09-19;2024-10-03
6,81785;-76,62975;2024-09-23;nominal;2024-09-19;2024-10-03
7,72975;-76,74455;2024-09-23;nominal;2024-09-19;2024-10-03
8,57645;-76,47525;2024-09-23;nominal;2024-09-19;2024-10-03
8,53015;-76,75075;2024-09-23;nominal;2024-09-19;2024-10-03
6,40555;-75,95635;2024-09-24;nominal;2024-09-19;2024-10-03
8,09795;-76,46575;2024-09-23;nominal;2024-09-19;2024-10-03
8,59495;-76,47045;2024-09-23;nominal;2024-09-19;2024-10-03
7,37715;-74,60055;2024-09-24;nominal;2024-09-19;2024-10-03
7,61365;-76,72035;2024-09-23;nominal;2024-09-19;2024-10-03
8,06875;-76,43455;2024-09-23;nominal;2024-09-19;2024-10-03
6,88845;-75,92915;2024-09-24;nominal;2024-09-19;2024-10-03
5,59925;-75,12295;2024-09-24;nominal;2024-09-19;2024-10-03
8,18535;-76,42865;2024-09-23;nominal;2024-09-19;2024-10-03
7,81545;-76,63265;2024-09-23;nominal;2024-09-19;2024-10-03
7,32655;-76,16515;2024-09-23;nominal;2024-09-19;2024-10-03
8,11705;-76,46965;2024-09-23;nominal;2024-09-19;2024-10-03
7,72525;-74,73095;2024-09-24;nominal;2024-09-19;2024-10-03
8,25175;-76,67705;2024-09-23;nominal;2024-09-19;2024-10-03
8,46745;-76,76745;2024-09-23;nominal;2024-09-19;2024-10-03
7,79775;-76,79635;2024-09-23;nominal;2024-09-19;2024-10-03
7,72965;-76,74465;2024-09-23;nominal;2024-09-19;2024-10-03
8,59455;-76,47005;2024-09-23;nominal;2024-09-19;2024-10-03
